id,name,district,lat,lng,demand_kg
D0,Kho V9 Hoàng Mai,Hoàng Mai,20.9821,105.7913,0
D1,Văn Quán,Thanh Xuân,21.0012,105.7823,5.2
D2,Ngã Tư Sở,Đống Đa,21.0056,105.7856,3.1
D3,Cầu Giấy,Cầu Giấy,21.0285,105.7891,4.5
D4,Trung Hoà,Cầu Giấy,21.0228,105.7956,6.8
D5,Dịch Vọng,Cầu Giấy,21.0382,105.7797,3.5
D6,Trung Kính,Cầu Giấy,21.0345,105.7921,4.2
D7,Yên Hoà,Cầu Giấy,21.0412,105.7856,5.1
D8,Quan Hoa,Cầu Giấy,21.0289,105.7982,2.8
D9,Hoàng Đạo Thúy,Thanh Xuân,21.0123,105.7845,4.9
D10,Khương Trung,Thanh Xuân,21.0089,105.7756,3.3
D11,Thanh Xuân Bắc,Thanh Xuân,21.0156,105.7823,5.7
D12,Phương Liệt,Thanh Xuân,21.0023,105.7721,4.1
D13,Hạ Đình,Thanh Xuân,21.0067,105.7656,3.9
D14,Kim Giang,Thanh Xuân,20.9989,105.7691,4.6
D15,Chùa Bộc,Đống Đa,21.0123,105.8201,5.3
D16,Thái Hà,Đống Đa,21.0189,105.8156,4.8
D17,Tôn Đức Thắng,Đống Đa,21.0223,105.8234,3.7
D18,Láng Hạ,Đống Đa,21.0324,105.8101,6.2
D19,Thái Thịnh,Đống Đa,21.0256,105.8189,4.4
D20,Nguyễn Lương Bằng,Đống Đa,21.0289,105.8234,5.5
D21,Láng Trung,Đống Đa,21.0189,105.8012,3.8
D22,Khâm Thiên,Đống Đa,21.0123,105.8089,4.3
D23,Trung Phụng,Đống Đa,21.0156,105.8123,5.9
D24,Ô Chợ Dừa,Đống Đa,21.0223,105.8167,4.7
D25,Hàng Bột,Đống Đa,21.0256,105.8234,3.6
D26,Lò Đúc,Hai Bà Trưng,21.0123,105.8456,5.1
D27,Trần Khát Chân,Hai Bà Trưng,21.0089,105.8512,4.2
D28,Bạch Đằng,Hai Bà Trưng,21.0156,105.8578,6.3
D29,Vĩnh Tuy,Hai Bà Trưng,21.0089,105.8712,3.4
D30,Minh Khai,Hai Bà Trưng,21.0223,105.8656,5.8
