instance,n,instance_seed,method,search_seed,feasible,distance,makespan,tardiness,late_orders,batches,used_pickers,on_time_rate,objective,preprocessing_seconds,optimization_seconds,total_seconds
synthetic-n20-seed201,20,201,B0,1,True,592.0,9.306666666666667,40.18150460689219,19,5,3,0.050000000000000044,0.7386249485558002,0.000811500000054366,9.20000093174167e-06,0.0015911999998934334
synthetic-n20-seed201,20,201,B1,1,True,568.0,9.193333333333333,25.072889858850946,17,5,3,0.15000000000000002,0.6939952433970361,0.0008242999992944533,0.002808399998684763,0.004503799998929026
synthetic-n20-seed201,20,201,B2,1,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.0009463999995205086,0.0028787000010197517,0.0044887999993079575
synthetic-n20-seed201,20,201,B3,1,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.001100100000257953,0.008725500001673936,0.01067230000080599
synthetic-n20-seed201,20,201,B3,2,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.0008792999997240258,0.008303999999043299,0.009839099999226164
synthetic-n20-seed201,20,201,B3,3,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.0007820999999239575,0.008312100000694045,0.009747500000230502
synthetic-n20-seed201,20,201,B3,4,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.0008215000016207341,0.007996899999852758,0.009460500001296168
synthetic-n20-seed201,20,201,B3,5,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.0007941000003484078,0.007984799998666858,0.009458900000026915
synthetic-n20-seed201,20,201,B3,6,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.0009176999992632773,0.008447199999864097,0.01024899999902118
synthetic-n20-seed201,20,201,B3,7,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.0009310000004916219,0.008109599999443162,0.009681400000772555
synthetic-n20-seed201,20,201,B3,8,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.0007781000003888039,0.00808349999897473,0.009517200000118464
synthetic-n20-seed201,20,201,B3,9,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.0010908999993262114,0.008082899999863002,0.009826099998463178
synthetic-n20-seed201,20,201,B3,10,True,544.0,9.06,24.152889858850948,17,5,3,0.15000000000000002,0.6740586162254519,0.0007879000004322734,0.008196700000553392,0.009691499999462394
synthetic-n20-seed201,20,201,LNS,1,True,496.0,8.333333333333332,27.70382511141213,18,5,3,0.09999999999999998,0.6273639708589331,0.0007729000008112052,0.25574929999856977,0.2571778000001359
synthetic-n20-seed201,20,201,LNS,2,True,520.0,8.26,24.445936566169063,16,5,3,0.19999999999999996,0.632416604694958,0.0007705000007263152,0.22133380000013858,0.22276530000090133
synthetic-n20-seed201,20,201,LNS,3,True,544.0,7.833333333333334,22.73054068072061,18,6,3,0.09999999999999998,0.627576376770825,0.0009315999996033497,0.2288461999996798,0.2305640000013227
synthetic-n20-seed201,20,201,LNS,4,True,496.0,7.9399999999999995,23.559171867942084,13,5,3,0.35,0.6058537274668546,0.0007745000002614688,0.23173680000036256,0.23318010000002687
synthetic-n20-seed201,20,201,LNS,5,True,464.0,7.933333333333334,25.702106782307453,17,5,3,0.15000000000000002,0.5914345661483925,0.0010998999987350544,0.2315255999983492,0.23327959999915038
synthetic-n20-seed201,20,201,LNS,6,True,472.0,7.8533333333333335,26.945128843567673,18,5,3,0.09999999999999998,0.59529978351332,0.0009467999989283271,0.2703222999989521,0.2718812999992224
synthetic-n20-seed201,20,201,LNS,7,True,496.0,8.073333333333334,22.53457438294255,16,5,3,0.19999999999999996,0.6087943957721325,0.0007972999992489349,0.20550700000057986,0.20696639999914623
synthetic-n20-seed201,20,201,LNS,8,True,480.0,8.120000000000001,24.191475449830165,18,5,3,0.09999999999999998,0.60442405868329,0.0008367999998881714,0.21712990000014543,0.21861829999943438
synthetic-n20-seed201,20,201,LNS,9,True,496.0,8.066666666666666,23.658421475062482,15,5,3,0.25,0.6105682384633692,0.0008189000000129454,0.21655740000096557,0.217998299998726
synthetic-n20-seed201,20,201,LNS,10,True,512.0,8.166666666666668,28.793829388739084,16,5,3,0.19999999999999996,0.632355556773375,0.000793100000009872,0.23138749999998254,0.23284469999998691
synthetic-n20-seed201,20,201,ALNS,1,True,528.0,8.2,22.99318076159485,19,5,3,0.050000000000000044,0.6321704720136204,0.0008333999994647456,0.23881690000052913,0.24027959999875748
synthetic-n20-seed201,20,201,ALNS,2,True,496.0,8.120000000000001,28.060459287034533,14,5,3,0.30000000000000004,0.6203617636758311,0.0007654000000911765,0.2369522999997571,0.23833550000017567
synthetic-n20-seed201,20,201,ALNS,3,True,496.0,8.093333333333334,29.37715844474547,18,5,3,0.09999999999999998,0.6217646394358196,0.0007602000005135778,0.20607449999988603,0.20746220000000903
synthetic-n20-seed201,20,201,ALNS,4,True,488.0,8.153333333333332,27.162254789465532,15,5,3,0.25,0.6154426140586791,0.0008328000003530178,0.2195056000000477,0.22096110000165936
synthetic-n20-seed201,20,201,ALNS,5,True,504.0,7.946666666666666,25.756357064590638,14,5,3,0.30000000000000004,0.6145317966740487,0.0011056000003009103,0.23082799999974668,0.23254150000138907
synthetic-n20-seed201,20,201,ALNS,6,True,504.0,8.08,25.028278143820003,18,5,3,0.09999999999999998,0.6180034796000803,0.000811400001111906,0.21599669999886828,0.21744109999963257
synthetic-n20-seed201,20,201,ALNS,7,True,496.0,8.379999999999999,25.531143259061736,16,5,3,0.19999999999999996,0.625144507178745,0.0009300000001530861,0.22063689999959024,0.22225149999940186
synthetic-n20-seed201,20,201,ALNS,8,True,488.0,8.466666666666667,29.330894863598377,15,5,3,0.25,0.6305488224053831,0.0007688999994570622,0.22940790000029665,0.23080300000037823
synthetic-n20-seed201,20,201,ALNS,9,True,488.0,7.880000000000001,26.570678006391958,16,5,3,0.19999999999999996,0.6045933242131558,0.0008113999992929166,0.23036010000032547,0.2318040000009205
