instance,n,instance_seed,method,search_seed,feasible,distance,makespan,tardiness,late_orders,batches,used_pickers,on_time_rate,objective,preprocessing_seconds,optimization_seconds,total_seconds
synthetic-n20-seed101,20,101,B0,7,True,672.0,10.953333333333333,36.90332594498665,17,4,3,0.15000000000000002,0.7228190189870967,0.001709399999526795,1.0399999155197293e-05,0.002560700000685756
synthetic-n20-seed101,20,101,B1,7,True,560.0,9.386666666666667,17.160280240867415,19,4,3,0.050000000000000044,0.5895452969107673,0.0018106000006810063,0.0034976999995706137,0.0061492000004363945
synthetic-n20-seed101,20,101,B2,7,True,544.0,9.386666666666667,16.45262800054816,17,4,3,0.15000000000000002,0.5805320205014668,0.0017661000001680804,0.003603600000133156,0.006231700001080753
synthetic-n20-seed101,20,101,B3,7,True,544.0,9.386666666666667,16.45262800054816,17,4,3,0.15000000000000002,0.5805320205014668,0.0017975999999180203,0.00863500000014028,0.011213100000531995
synthetic-n20-seed101,20,101,LNS,7,True,528.0,8.006666666666668,23.33669053631608,15,4,3,0.25,0.5410740009030112,0.0016826999999466352,0.25420209999902,0.25666889999956766
synthetic-n20-seed101,20,101,ALNS,7,True,528.0,8.153333333333332,22.892628000548147,17,4,3,0.15000000000000002,0.5448616923174442,0.0017588999999134103,0.2509939999999915,0.2535506999993231
synthetic-n20-seed101,20,101,B-S,7,True,728.0,11.486666666666666,41.33920747973369,18,4,3,0.09999999999999998,0.7735769370591741,0.001720000000204891,0.0005435000002762536,0.0030642000001535052
synthetic-n50-seed101,50,101,B0,7,True,1584.0,19.98,175.53396827845935,31,9,3,0.38,0.7252365593188053,0.0020297999999456806,1.06999996205559e-05,0.0033177999994222773
synthetic-n50-seed101,50,101,B1,7,True,1136.0,18.259999999999998,81.73409040111747,21,8,3,0.5800000000000001,0.5709671791310186,0.001988300000448362,0.017642199998590513,0.02089259999956994
synthetic-n50-seed101,50,101,B2,7,True,1136.0,18.259999999999998,81.73409040111747,21,8,3,0.5800000000000001,0.5709671791310186,0.002340500001082546,0.018365399999311194,0.022743600000467268
synthetic-n50-seed101,50,101,B3,7,True,1136.0,17.673333333333332,80.42438958786622,23,8,3,0.54,0.5607426098462056,0.001992900000914233,0.02786269999887736,0.031115199999476317
synthetic-n50-seed101,50,101,LNS,7,True,1032.0,16.34,90.32560283431867,30,9,3,0.4,0.5199163293953803,0.0021438000003399793,1.0000789999994595,1.0033433999997214
synthetic-n50-seed101,50,101,ALNS,7,True,1064.0,16.326666666666668,91.45790878106662,25,9,3,0.5,0.5268057045912093,0.0020521000005828682,1.0000617999994574,1.003222299999834
synthetic-n50-seed101,50,101,B-S,7,True,1688.0,20.646666666666665,192.86730161179264,31,9,3,0.38,0.7640278758878996,0.0019933999992645113,0.0008591000005253591,0.004039199999169796
synthetic-n100-seed101,100,101,B0,7,True,3216.0,41.22,682.7420182674291,59,18,3,0.41000000000000003,0.7218778924686583,0.0024870000015653204,9.299999874201603e-06,0.004287900001145317
synthetic-n100-seed101,100,101,B1,7,True,2136.0,34.80666666666667,236.33155993941347,38,17,3,0.62,0.5219751330472907,0.0025050999993254663,0.05729589999828022,0.06198530000074243
synthetic-n100-seed101,100,101,B2,7,True,2120.0,34.80666666666667,234.4648932727468,38,17,3,0.62,0.5201658067208121,0.0026306999989174074,0.06067019999863987,0.0650945999987016
synthetic-n100-seed101,100,101,B3,7,True,2120.0,33.153333333333336,234.80647454539195,37,17,3,0.63,0.5068234363455342,0.0026235000004817266,0.08059839999987162,0.08516170000075363
synthetic-n100-seed101,100,101,LNS,7,True,2096.0,34.2,269.4316118936019,41,17,3,0.5900000000000001,0.5155999695806163,0.002740599999015103,1.000202100000024,1.0047813999990467
synthetic-n100-seed101,100,101,ALNS,7,True,2096.0,34.2,269.4316118936019,41,17,3,0.5900000000000001,0.5155999695806163,0.0026192999994236743,1.000185099999726,1.0046217999988585
synthetic-n100-seed101,100,101,B-S,7,True,3544.0,43.04666666666667,766.3420182674292,59,18,3,0.41000000000000003,0.7774067337868933,0.002915999999459018,0.0013966000005893875,0.0062017999989620876
synthetic-n200-seed101,200,101,B0,7,True,7160.0,89.76666666666667,3146.305692648701,122,40,3,0.39,0.7250830367492641,0.003754299999854993,9.100000170292333e-06,0.0072452999993402045
synthetic-n200-seed101,200,101,B1,7,True,4824.0,73.12,1124.3173506563141,79,37,3,0.605,0.5169745694680685,0.003911800000423682,0.23896160000003874,0.24629510000158916
synthetic-n200-seed101,200,101,B2,7,True,4760.0,72.85333333333334,1114.4506839896476,79,37,3,0.605,0.5128216410883324,0.0042257999994035345,0.24340310000116006,0.2508797999998933
synthetic-n200-seed101,200,101,B3,7,True,4760.0,71.22666666666669,1126.8608409100236,76,37,3,0.62,0.5070117046528895,0.00445909999871219,0.283216399999219,0.2908666000002995
synthetic-n200-seed101,200,101,LNS,7,True,4760.0,72.85333333333334,1114.4506839896476,79,37,3,0.605,0.5128216410883324,0.004433399999470566,1.0001377000007778,1.0079200999989553
synthetic-n200-seed101,200,101,ALNS,7,True,4760.0,72.85333333333334,1114.4506839896476,79,37,3,0.605,0.5128216410883324,0.0038402000009227777,1.0002636999997776,1.0072722000004433
synthetic-n200-seed101,200,101,B-S,7,True,7576.0,92.26666666666667,3379.5866918038337,123,40,3,0.385,0.7580644644436005,0.003941400000258,0.0024186999999074033,0.009664900000643684
